Question,Metric,Leiden vs Louvain Win Rate A (%)
What are the overarching themes and ideas presented throughout the book?,comprehensiveness,66.67
What are the relationships and interactions between major characters or entities across the book?,comprehensiveness,75.00
What are the significant events or turning points in the book?,comprehensiveness,100.00
What are the overarching themes and ideas presented throughout the book?,directness,50.00
What are the relationships and interactions between major characters or entities across the book?,directness,50.00
What are the significant events or turning points in the book?,directness,75.00
What are the overarching themes and ideas presented throughout the book?,empowerment,66.67
What are the relationships and interactions between major characters or entities across the book?,empowerment,75.00
What are the significant events or turning points in the book?,empowerment,75.00
What are the overarching themes and ideas presented throughout the book?,diversity,50.00
What are the relationships and interactions between major characters or entities across the book?,diversity,50.00
What are the significant events or turning points in the book?,diversity,75.00
